rok,kraj,strana_cislo,strana_nazev,kandidat_cislo,kandidat,kandidat_vek,navrhujici_strana,prislusnost,prednostni_hlasy_abs,prednostni_hlasy_pct,mandat,poradi
2013,Plzeňský kraj,24,KČ,12,Donatiénová Božena,65,KČ,BEZPP,5,0.72,-,NA
2013,Plzeňský kraj,2,Svobodní,7,Dostál Pavel Ing.,29,Svobodní,Svobodní,183,3.06,-,NA
2013,Plzeňský kraj,24,KČ,6,Drábeček Karel,68,KČ,BEZPP,8,1.15,-,NA
2013,Plzeňský kraj,11,KDU-ČSL,12,Drahorádová Věra Mgr.,54,KDU-ČSL,KDU-ČSL,198,1.54,-,NA
2013,Plzeňský kraj,1,ČSSD,16,Draxal Jiří Ing.,51,ČSSD,ČSSD,495,0.86,-,13
2013,Plzeňský kraj,24,KČ,1,Drnek Jan,52,KČ,KČ,41,5.93,-,NA
2013,Plzeňský kraj,15,SPOZ,14,Drobný Jiří,35,SPOZ,BEZPP,24,0.95,-,NA
2013,Plzeňský kraj,20,ANO 2011,9,Dufka Jiří Ing.,52,ANO 2011,ANO 2011,1063,2.17,-,6
2013,Plzeňský kraj,6,ODS,14,Duchková Stanislava  prom. ped.,76,ODS,ODS,116,0.41,-,13
2013,Plzeňský kraj,9,Změna,14,Dvorová Miroslava,53,Změna,BEZPP,8,0.54,-,NA
2013,Plzeňský kraj,10,SsČR,13,Dvořák Pavel,55,SsČR,SsČR,10,1.1,-,NA
2013,Plzeňský kraj,10,SsČR,11,Dvořáková Barbora,26,SsČR,SsČR,17,1.87,-,NA
2013,Plzeňský kraj,22,LEV 21,6,Eretová Jiřina,62,LEV 21,BEZPP,20,5.76,-,NA
2013,Plzeňský kraj,13,Suveren.,20,Fehérová Zdeňka,44,Suveren.,BEZPP,7,0.83,-,NA
2013,Plzeňský kraj,22,LEV 21,3,Fejfar Jiří,56,LEV 21,LEV 21,28,8.06,-,NA
2013,Plzeňský kraj,9,Změna,18,Fejfarová Linda,38,Změna,BEZPP,17,1.15,-,NA
2013,Plzeňský kraj,20,ANO 2011,15,Fejtová Jitka,54,ANO 2011,ANO 2011,310,0.63,-,12
2013,Plzeňský kraj,13,Suveren.,17,Ficková Anna,62,Suveren.,BEZPP,12,1.43,-,NA
